>> cd ../jacobi_poisson_1d
>> jacobi_poisson_1d
22-Nov-2011 13:09:57

JACOBI_POISSON_1D:
  Use Jacobi iteration for the 1D Poisson equation.
  Enter K >= 0, the grid index, so that NK = 2^K + 1:  5

    Step    Residual      Change
     346       0.559   0.0002743
     347      0.5563    0.000273
     348      0.5536   0.0002716
     349       0.551   0.0002703
     350      0.5483    0.000269
     351      0.5457   0.0002677
     352       0.543   0.0002664
     353      0.5404   0.0002652
     354      0.5378   0.0002639
     355      0.5352   0.0002626
     356      0.5327   0.0002613
     357      0.5301   0.0002601
     358      0.5275   0.0002588
     359       0.525   0.0002576
     360      0.5225   0.0002563
     361        0.52   0.0002551
     362      0.5175   0.0002539
     363       0.515   0.0002527
     364      0.5125   0.0002514
     365        0.51   0.0002502
     366      0.5076    0.000249
     367      0.5051   0.0002478
     368      0.5027   0.0002466
     369      0.5003   0.0002455
     370      0.4979   0.0002443
     371      0.4955   0.0002431
     372      0.4931   0.0002419
     373      0.4907   0.0002408
     374      0.4883   0.0002396
     375       0.486   0.0002384
     376      0.4836   0.0002373
     377      0.4813   0.0002362
     378       0.479    0.000235
     379      0.4767   0.0002339
     380      0.4744   0.0002328
     381      0.4721   0.0002316
     382      0.4698   0.0002305
     383      0.4676   0.0002294
     384      0.4653   0.0002283
     385      0.4631   0.0002272
     386      0.4609   0.0002261
     387      0.4586    0.000225
     388      0.4564   0.0002239
     389      0.4542   0.0002229
     390       0.452   0.0002218
     391      0.4499   0.0002207
     392      0.4477   0.0002197
     393      0.4455   0.0002186
     394      0.4434   0.0002175
     395      0.4413   0.0002165
     396      0.4391   0.0002155
     397       0.437   0.0002144
     398      0.4349   0.0002134
     399      0.4328   0.0002124
     400      0.4307   0.0002113
     401      0.4287   0.0002103
     402      0.4266   0.0002093
     403      0.4245   0.0002083
     404      0.4225   0.0002073
     405      0.4205   0.0002063
     406      0.4184   0.0002053
     407      0.4164   0.0002043
     408      0.4144   0.0002033
     409      0.4124   0.0002024
     410      0.4104   0.0002014
     411      0.4085   0.0002004
     412      0.4065   0.0001994
     413      0.4045   0.0001985
     414      0.4026   0.0001975
     415      0.4007   0.0001966
     416      0.3987   0.0001956
     417      0.3968   0.0001947
     418      0.3949   0.0001938
     419       0.393   0.0001928
     420      0.3911   0.0001919
     421      0.3892    0.000191
     422      0.3873     0.00019
     423      0.3855   0.0001891
     424      0.3836   0.0001882
     425      0.3818   0.0001873
     426      0.3799   0.0001864
     427      0.3781   0.0001855
     428      0.3763   0.0001846
     429      0.3745   0.0001837
     430      0.3727   0.0001828
     431      0.3709    0.000182
     432      0.3691   0.0001811
     433      0.3673   0.0001802
     434      0.3655   0.0001794
     435      0.3638   0.0001785
     436       0.362   0.0001776
     437      0.3603   0.0001768
