>> fem2d_leastsquares ( 17,17 )

FEM2D_LEASTSQUARES
  MATLAB version

  Seek U(x,y), the solution of the least squares equation:

  ( U(x,y) - W(x,y), V(x,y) ) = 0 inside the region,
    U(x,y)                    = W(x,y) on the boundary.

  The region is a rectangle, defined by:

  0.000000 = XL<= X <= XR = 1.000000
  0.000000 = YB<= Y <= YT = 1.000000

  A finite element formulation is used, with piecewise
  linear basis functions on 3 node triangular
  elements.

  The corner nodes of the triangles are generated by an
  underlying grid whose dimensions are

  NX = 17
  NY = 17
  Number of nodes = 289
  Number of elements = 512

     K     I     J    X         Y           U(x,y)          W(x,y)
   261     6    16  0.312500  0.937500    4.734522e-01    4.747117e-01
   262     7    16  0.375000  0.937500    5.547836e-01    5.552400e-01
   263     8    16  0.437500  0.937500    6.292063e-01    6.288417e-01
   264     9    16  0.500000  0.937500    6.962616e-01    6.950903e-01
   265    10    16  0.562500  0.937500    7.557752e-01    7.538417e-01
   266    11    16  0.625000  0.937500    8.078595e-01    8.052400e-01
   267    12    16  0.687500  0.937500    8.529237e-01    8.497117e-01
   268    13    16  0.750000  0.937500    8.916027e-01    8.879497e-01
   269    14    16  0.812500  0.937500    9.249509e-01    9.208864e-01
   270    15    16  0.875000  0.937500    9.535449e-01    9.496578e-01
   271    16    16  0.937500  0.937500    9.807896e-01    9.755602e-01
   272    17    16  1.000000  0.937500    1.000000e+00    1.000000e+00

   273     1    17  0.000000  1.000000    0.000000e+00    0.000000e+00
   274     2    17  0.062500  1.000000    6.250000e-02    6.250000e-02
   275     3    17  0.125000  1.000000    1.250000e-01    1.250000e-01
   276     4    17  0.187500  1.000000    1.875000e-01    1.875000e-01
   277     5    17  0.250000  1.000000    2.500000e-01    2.500000e-01
   278     6    17  0.312500  1.000000    3.125000e-01    3.125000e-01
   279     7    17  0.375000  1.000000    3.750000e-01    3.750000e-01
   280     8    17  0.437500  1.000000    4.375000e-01    4.375000e-01
   281     9    17  0.500000  1.000000    5.000000e-01    5.000000e-01
   282    10    17  0.562500  1.000000    5.625000e-01    5.625000e-01
   283    11    17  0.625000  1.000000    6.250000e-01    6.250000e-01
   284    12    17  0.687500  1.000000    6.875000e-01    6.875000e-01
   285    13    17  0.750000  1.000000    7.500000e-01    7.500000e-01
   286    14    17  0.812500  1.000000    8.125000e-01    8.125000e-01
   287    15    17  0.875000  1.000000    8.750000e-01    8.750000e-01
   288    16    17  0.937500  1.000000    9.375000e-01    9.375000e-01
   289    17    17  1.000000  1.000000    1.000000e+00    1.000000e+00


  ||U||   = 0.996235
  ||W||   = 0.994293
  ||U-W|| = 0.062347

FEM2D_LEASTSQUARES:
   Normal end of execution.
>> 
