>> gauss_seidel_poisson_1d
22-Nov-2011 13:09:15

GAUSS_SEIDEL_POISSON_1D:
  Use Gauss-Seidel iteration for the 1D Poisson equation.
  Enter K >= 0, the grid index, so that NK = 2^K + 1:  5

    Step    Residual      Change
     586     0.01071   1.047e-05
     587     0.01061   1.037e-05
     588     0.01051   1.027e-05
     589     0.01041   1.017e-05
     590     0.01031   1.007e-05
     591     0.01021   9.972e-06
     592     0.01011   9.877e-06
     593     0.01001   9.782e-06
     594    0.009917   9.688e-06
     595    0.009822   9.595e-06
     596    0.009727   9.503e-06
     597    0.009634   9.411e-06
     598    0.009541   9.321e-06
     599     0.00945   9.231e-06
     600    0.009359   9.143e-06
     601    0.009269   9.055e-06
     602     0.00918   8.968e-06
     603    0.009092   8.882e-06
     604    0.009004   8.796e-06
     605    0.008918   8.712e-06
     606    0.008832   8.628e-06
     607    0.008747   8.545e-06
     608    0.008663   8.463e-06
     609     0.00858   8.382e-06
     610    0.008498   8.301e-06
     611    0.008416   8.222e-06
     612    0.008335   8.143e-06
     613    0.008255   8.064e-06
     614    0.008176   7.987e-06
     615    0.008097    7.91e-06
     616    0.008019   7.834e-06
     617    0.007942   7.759e-06
     618    0.007866   7.684e-06
     619     0.00779    7.61e-06
     620    0.007716   7.537e-06
     621    0.007641   7.465e-06
     622    0.007568   7.393e-06
     623    0.007495   7.322e-06
     624    0.007423   7.252e-06
     625    0.007352   7.182e-06
     626    0.007281   7.113e-06
     627    0.007211   7.045e-06
     628    0.007142   6.977e-06
     629    0.007074    6.91e-06
     630    0.007006   6.844e-06
     631    0.006938   6.778e-06
     632    0.006872   6.713e-06
     633    0.006806   6.648e-06
     634     0.00674   6.584e-06
     635    0.006675   6.521e-06
     636    0.006611   6.459e-06
     637    0.006548   6.397e-06
     638    0.006485   6.335e-06
     639    0.006423   6.274e-06
     640    0.006361   6.214e-06
     641      0.0063   6.154e-06
     642    0.006239   6.095e-06
     643    0.006179   6.037e-06
     644     0.00612   5.979e-06
     645    0.006061   5.921e-06
     646    0.006003   5.864e-06
     647    0.005945   5.808e-06
     648    0.005888   5.752e-06
     649    0.005832   5.697e-06
     650    0.005776   5.642e-06
     651     0.00572   5.588e-06
     652    0.005665   5.534e-06
     653    0.005611   5.481e-06
     654    0.005557   5.428e-06
     655    0.005503   5.376e-06
     656     0.00545   5.325e-06
     657    0.005398   5.273e-06
     658    0.005346   5.223e-06
     659    0.005295   5.173e-06
     660    0.005244   5.123e-06
     661    0.005194   5.074e-06
     662    0.005144   5.025e-06
     663    0.005094   4.977e-06
     664    0.005045   4.929e-06
     665    0.004997   4.881e-06
     666    0.004949   4.835e-06
     667    0.004901   4.788e-06
     668    0.004854   4.742e-06
     669    0.004808   4.697e-06
     670    0.004761   4.651e-06
     671    0.004716   4.607e-06
     672     0.00467   4.563e-06
     673    0.004626   4.519e-06
     674    0.004581   4.475e-06
     675    0.004537   4.432e-06
     676    0.004493    4.39e-06
     677     0.00445   4.348e-06
     678    0.004408   4.306e-06
     679    0.004365   4.264e-06
     680    0.004323   4.223e-06
     681    0.004282   4.183e-06
     682    0.004241   4.143e-06
     683      0.0042   4.103e-06
     684     0.00416   4.063e-06
     685     0.00412   4.024e-06
     686     0.00408   3.986e-06
     687    0.004041   3.947e-06
     688    0.004002    3.91e-06
     689    0.003963   3.872e-06
     690    0.003925   3.835e-06
     691    0.003888   3.798e-06
     692     0.00385   3.761e-06
     693    0.003813   3.725e-06
     694    0.003777   3.689e-06
     695     0.00374   3.654e-06
     696    0.003705   3.619e-06
     697    0.003669   3.584e-06
     698    0.003634    3.55e-06
     699    0.003599   3.516e-06
     700    0.003564   3.482e-06
     701     0.00353   3.448e-06
     702    0.003496   3.415e-06
     703    0.003462   3.382e-06
     704    0.003429    3.35e-06
     705    0.003396   3.318e-06
     706    0.003364   3.286e-06
     707    0.003331   3.254e-06
     708    0.003299   3.223e-06
     709    0.003268   3.192e-06
     710    0.003236   3.161e-06
     711    0.003205   3.131e-06
     712    0.003174   3.101e-06
     713    0.003144   3.071e-06
     714    0.003114   3.042e-06
     715    0.003084   3.012e-06
     716    0.003054   2.984e-06
     717    0.003025   2.955e-06
     718    0.002996   2.926e-06
     719    0.002967   2.898e-06
     720    0.002938   2.871e-06
     721     0.00291   2.843e-06
     722    0.002882   2.816e-06
     723    0.002855   2.789e-06
     724    0.002827   2.762e-06
     725      0.0028   2.735e-06
     726    0.002773   2.709e-06
     727    0.002746   2.683e-06
     728     0.00272   2.657e-06
     729    0.002694   2.632e-06
     730    0.002668   2.606e-06
     731    0.002642   2.581e-06
     732    0.002617   2.557e-06
     733    0.002592   2.532e-06
     734    0.002567   2.508e-06
     735    0.002542   2.484e-06
     736    0.002518    2.46e-06
     737    0.002494   2.436e-06
     738     0.00247   2.413e-06
     739    0.002446   2.389e-06
     740    0.002422   2.367e-06
     741    0.002399   2.344e-06
     742    0.002376   2.321e-06
     743    0.002353   2.299e-06
     744    0.002331   2.277e-06
     745    0.002308   2.255e-06
     746    0.002286   2.233e-06
     747    0.002264   2.212e-06
     748    0.002242   2.191e-06
     749    0.002221    2.17e-06
     750      0.0022   2.149e-06
     751    0.002178   2.128e-06
     752    0.002157   2.108e-06
     753    0.002137   2.087e-06
     754    0.002116   2.067e-06
     755    0.002096   2.047e-06
     756    0.002076   2.028e-06
     757    0.002056   2.008e-06
     758    0.002036   1.989e-06
     759    0.002016    1.97e-06
     760    0.001997   1.951e-06
     761    0.001978   1.932e-06
     762    0.001959   1.914e-06
     763     0.00194   1.895e-06
     764    0.001921   1.877e-06
     765    0.001903   1.859e-06
     766    0.001885   1.841e-06
     767    0.001867   1.824e-06
     768    0.001849   1.806e-06
     769    0.001831   1.789e-06
     770    0.001813   1.771e-06
     771    0.001796   1.754e-06
     772    0.001779   1.738e-06
     773    0.001762   1.721e-06
     774    0.001745   1.704e-06
     775    0.001728   1.688e-06
     776    0.001711   1.672e-06
     777    0.001695   1.656e-06
     778    0.001679    1.64e-06
     779    0.001662   1.624e-06
     780    0.001646   1.608e-06
     781    0.001631   1.593e-06
     782    0.001615   1.578e-06
     783    0.001599   1.563e-06
     784    0.001584   1.548e-06
     785    0.001569   1.533e-06
     786    0.001554   1.518e-06
     787    0.001539   1.503e-06
     788    0.001524   1.489e-06
     789    0.001509   1.475e-06
     790    0.001495    1.46e-06
     791    0.001481   1.446e-06
     792    0.001466   1.432e-06
     793    0.001452   1.419e-06
     794    0.001438   1.405e-06
